SubNumber,Race,B1Lshow,B1Ltime,B1Ttries,B1Tshow,B1Tresp,B1Ttime,B2Lshow,B2Ltime,B2Ttries,B2Tshow,B2Tresp,B2Ttime,B3Lshow,B3Ltime,B3Ttries,B3Tshow,B3Tresp,B3Ttime,B4Lshow,B4Ltime,B4Ttries,B4Tshow,B4Tresp,B4Ttime,Completion
2100,Black,5_4,7590,2,5_4|5_4,4_5|5_4,15706,4_1_5,3001,4,1_4_5|1_5_4|5_4_1|5_4_1,4_5_4|5_5_4|1_1_4|5_4_1,27502,5_3_1_4,5834,7,5_4_3_1|3_4_5_1|3_5_4_1|4_5_3_1|3_4_5_1|4_5_1_3|3_4_5_1,4_4_2_1|4_5_1_4|5_4_2_5|3_5_4_1|2_5_5_2|3_3_3_5|3_4_5_1,95912,2_1_4_5_3,7384,15,1_3_4_5_2|5_1_3_2_4|1_3_4_5_2|5_2_4_3_1|2_5_4_1_3|3_2_4_1_5|4_5_3_2_1|2_1_5_4_3|4_2_5_3_1|3_2_5_4_1|3_5_2_4_1|3_1_2_5_4|1_5_3_2_4|2_3_5_4_1|4_2_5_3_1,4_4_1_5_1|4_4_3_4_5|5_2_4_5_3|3_5_3_4_3|2_3_4_3_2|3_2_4_5_5|3_2_3_2_5|2_2_5_3_3|3_2_5_4_3|3_2_5_3_4|3_5_2_4_3|3_4_2_5_3|1_5_4_2_4|2_1_5_4_1|4_2_5_3_1,248449,normal
2102,Asian,5_1,8557,1,5_1,5_1,8810,1_4_5,8088,2,1_4_5|4_1_5,1_2_5|4_1_5,21834,5_4_1_3,10645,1,5_4_3_1,5_4_3_1,8060,5_2_1_3_4,12574,12,3_2_4_5_1|4_1_2_3_5|2_5_4_3_1|2_5_1_4_3|2_5_4_3_1|1_2_5_3_4|3_2_1_4_5|1_2_4_5_3|2_5_1_4_3|1_2_3_5_4|2_1_5_4_3|3_1_4_5_2,5_3_1_5_2|4_2_3_4_5|1_5_2_3_2|1_5_4_2_3|2_5_4_1_1|5_2_5_2_2|3_2_4_4_5|1_2_3_5_3|2_5_4_3_3|1_2_4_5_3|2_1_5_3_3|3_1_4_5_2,271684,normal
2106,Black,5_3,10675,2,5_3|3_5,5_5|3_5,11920,2_3_5,4894,5,2_5_3|5_3_2|5_3_2|3_5_2|2_3_5,2_5_2|3_3_2|3_3_2|5_5_2|2_3_5,39162,1_3_2_5,7070,3,3_2_5_1|1_2_3_5|2_1_3_5,2_2_5_1|1_3_3_5|2_1_3_5,25635,3_5_2_1_4,14141,10,5_3_4_2_1|4_1_5_3_2|2_1_3_5_4|3_2_1_4_5|3_5_4_2_1|5_4_3_2_1|1_4_2_5_3|1_2_3_4_5|3_1_5_4_2|3_2_1_4_5,3_1_1_2_5|5_3_5_3_1|2_4_3_5_4|3_1_1_4_5|3_5_2_1_1|5_1_3_1_1|4_1_1_1_3|1_4_3_4_5|3_1_5_2_2|3_2_1_4_5,182311,normal
2107,White,1_2,3710,2,1_2|2_1,2_2|2_1,10575,2_4_1,7717,1,1_4_2,1_4_2,5799,5_2_4_1,13793,1,5_4_2_1,5_4_2_1,6667,4_2_1_5_3,13609,2,5_1_2_4_3|3_5_4_1_2,5_1_2_3_3|3_5_4_1_2,16008,normal
2109,Black,2_4,9700,1,2_4,2_4,3410,2_4_3,6251,2,3_4_2|4_2_3,4_3_2|4_2_3,21552,2_3_4_1,6825,2,2_4_1_3|3_1_4_2,2_4_1_1|3_1_4_2,13264,5_4_2_1_3,5562,1,3_2_4_5_1,3_2_4_5_1,9063,normal
2114,Asian,3_5,4782,1,3_5,3_5,1762,3_5_4,5789,9,4_5_3|4_3_5|4_5_3|3_5_4|4_3_5|5_3_4|3_5_4|5_3_4|4_5_3,3_3_3|4_5_4|4_5_4|3_4_5|5_5_4|4_3_5|5_4_5|4_5_4|4_5_3,88281,1_3_5_4,8270,1,1_3_4_5,1_3_4_5,10030,2_5_1_4_3,4917,11,4_1_3_5_2|1_2_5_4_3|4_3_1_2_5|5_2_1_4_3|1_5_4_2_3|3_4_5_2_1|2_5_1_3_4|3_2_4_1_5|5_3_1_4_2|1_4_2_5_3|5_3_4_2_1,3_1_2_4_1|2_2_5_4_1|3_4_5_2_4|3_5_4_4_3|3_4_3_5_3|3_5_4_2_1|2_5_1_4_4|2_2_1_5_5|5_2_2_1_3|1_3_2_5_3|5_3_4_2_1,136607,normal
2120,Black,5_3,6456,5,3_5|3_5|5_3|3_5|5_3,5_5|5_5|3_3|5_3|5_3,34869,5_1_3,4923,1,1_3_5,1_3_5,3873,2_5_1_3,7112,1,3_2_1_5,3_2_1_5,8709,1_4_3_5_2,7008,3,4_1_2_3_5|2_3_1_5_4|3_4_2_1_5,4_2_2_3_5|1_3_2_5_4|3_4_2_1_5,31528,normal
2129,White,4_5,17165,1,4_5,4_5,3808,4_2_5,10663,1,2_5_4,2_5_4,6582,4_2_5_3,10120,4,4_3_5_2|3_5_2_4|2_3_5_4|5_2_3_4,4_3_3_2|3_5_2_3|5_3_4_4|5_2_3_4,55896,2_5_4_3_1,12998,1,2_4_3_1_5,2_4_3_1_5,7544,normal
3021,Asian,5_4,1942,1,4_5,4_5,4156,3_5_4,2731,2,5_3_4|3_5_4,3_3_4|3_5_4,19623,2_4_5_3,3616,3,3_5_4_2|5_3_4_2|3_5_4_2,3_2_4_3|3_4_4_2|3_5_4_2,39675,4_1_2_3_5,7694,8,2_5_1_3_4|3_5_4_1_2|5_4_3_2_1|2_1_3_4_5|5_1_3_4_2|1_4_2_3_5|5_4_1_3_2|3_4_2_5_1,4_3_3_3_4|3_2_4_3_2|4_4_3_2_1|5_3_4_5_4|5_4_2_2_3|4_3_3_1_5|5_2_3_2_4|3_4_2_5_1,158593,normal
3023,Asian,2_4,8252,1,4_2,4_2,2706,2_4_3,7472,2,4_2_3|2_4_3,4_3_3|2_4_3,10377,2_4_5_3,10742,2,5_4_3_2|4_5_2_3,5_3_3_2|4_5_2_3,16603,1_2_3_4_5,5859,2,1_3_5_4_2|2_4_3_1_5,3_3_5_4_2|2_4_3_1_5,22790,normal
3027,Black,2_5,4941,3,5_2|5_2|5_2,2_2|2_2|5_2,16275,5_2_4,7082,7,2_5_4|5_2_4|5_4_2|2_4_5|2_5_4|5_4_2|2_4_5,5_5_4|2_2_4|2_4_5|5_4_5|2_4_4|2_4_5|2_4_5,49659,5_2_3_4,10208,3,3_2_4_5|2_4_3_5|5_3_2_4,3_4_2_2|5_3_3_2|5_3_2_4,35663,5_3_2_1_4,13001,7,3_5_1_2_4|4_3_5_1_2|1_2_4_5_3|4_5_2_1_3|1_5_2_4_3|4_1_5_3_2|5_4_3_2_1,3_5_1_4_4|1_1_5_1_4|1_2_3_3_3|4_2_4_1_3|1_2_2_3_3|4_1_2_3_2|5_4_3_2_1,125878,normal
3028,White,5_1,13317,1,1_5,1_5,3633,5_1_2,8571,1,2_1_5,2_1_5,6335,5_3_1_2,8164,8,3_1_5_2|2_3_1_5|1_3_5_2|5_3_1_2|1_3_2_5|5_3_1_2|1_2_3_5|1_2_5_3,3_2_5_4|1_2_1_5|2_2_5_3|5_1_2_3|3_3_2_5|5_1_2_3|3_2_3_5|1_2_5_3,145509,3_2_5_1_4,17108,3,4_5_3_2_1|5_4_1_2_3|3_2_5_1_4,4_5_1_2_1|5_4_2_3_3|3_2_5_1_4,33660,normal
3031,Black,2_3,5241,2,2_3|3_2,3_2|3_2,15636,2_3_5,6340,3,3_5_2|5_3_2|3_5_2,2_5_2|3_3_2|3_5_2,23025,5_1_2_3,7425,1,3_1_2_5,3_1_2_5,7612,3_5_4_2_1,9212,3,2_5_4_3_1|3_4_1_5_2|3_1_4_5_2,2_5_1_2_1|2_1_1_5_2|3_1_4_5_2,31423,normal
3037,Asian,2_3,7149,1,2_3,2_3,2194,2_1_3,4594,3,3_2_1|2_3_1|2_1_3,2_2_1|3_3_1|2_1_3,27995,5_1_3_2,14205,7,1_2_3_5|3_5_2_1|3_1_5_2|3_1_2_5|1_2_5_3|1_5_3_2|3_5_2_1,1_3_3_2|2_5_1_1|2_1_5_3|2_1_2_5|1_3_5_3|2_5_2_2|3_5_2_1,69999,4_5_2_3_1,6000,5,5_4_3_2_1|4_2_1_3_5|3_4_5_1_2|2_3_5_1_4|4_1_5_3_2,5_1_2_2_3|2_2_1_3_5|2_4_5_1_3|3_3_5_1_4|4_1_5_3_2,38182,normal
3038,Black,2_5,6191,1,5_2,5_2,3188,2_4_5,4572,1,4_5_2,4_5_2,3525,5_3_4_2,6791,4,5_3_2_4|2_3_4_5|4_2_3_5|3_4_2_5,5_4_2_5|2_4_5_5|5_2_5_5|3_4_2_5,53237,5_1_3_4_2,9008,1,2_4_3_5_1,2_4_3_5_1,6348,normal
3039,Asian,4_5,5393,1,4_5,4_5,2193,5_3_4,3697,1,3_5_4,3_5_4,3817,2_5_3_4,4951,1,5_4_3_2,5_4_3_2,4311,5_4_2_3_1,6281,4,4_3_5_1_2|3_1_4_5_2|4_3_2_1_5|5_1_4_3_2,4_3_5_3_2|3_2_4_5_2|1_3_2_1_5|5_1_4_3_2,40350,normal
3040,Asian,5_2,11457,1,5_2,5_2,3548,2_3_5,2909,1,3_5_2,3_5_2,4571,4_3_2_5,4800,4,2_5_4_3|2_3_4_5|3_4_2_5|4_3_2_5,3_3_4_2|5_3_4_2|2_4_5_5|4_3_2_5,50875,4_3_1_5_2,6814,1,4_3_2_5_1,4_3_2_5_1,6611,normal
3049,White,2_4,3541,1,2_4,2_4,2141,2_5_4,2361,1,2_5_4,2_5_4,3336,4_5_1_2,2584,2,4_2_5_1|5_2_4_1,4_5_5_2|5_2_4_1,15875,3_4_2_1_5,4184,8,5_4_2_1_3|4_5_3_1_2|5_1_4_2_3|3_2_5_1_4|2_3_4_1_5|1_2_4_3_5|2_3_5_4_1|5_3_4_2_1,2_3_5_1_5|2_1_2_2_5|2_4_3_5_3|3_5_5_1_4|3_3_5_3_5|4_2_4_3_5|1_3_5_2_3|5_3_4_2_1,111093,normal
3052,White,3_5,9767,1,3_5,3_5,2360,1_3_5,2855,6,3_1_5|5_1_3|5_1_3|5_3_1|1_5_3|3_1_5,1_5_1|3_5_5|1_3_1|3_1_3|1_5_1|3_1_5,65593,3_5_1_2,5697,3,5_3_1_2|2_1_3_5|3_1_5_2,3_1_3_2|2_3_3_5|3_1_5_2,31374,5_4_3_2_1,6682,1,5_4_2_1_3|4_5_3_1_2|5_1_4_2_3|3_2_5_1_4|2_3_4_1_5|1_2_4_3_5|2_3_5_4_1|5_3_4_2_1,2_3_5_1_5|2_1_2_2_5|2_4_3_5_3|3_5_5_1_4|3_3_5_3_5|4_2_4_3_5|1_3_5_2_3|5_3_4_2_1,6513,Incomplete
3054,Black,1_3,13480,4,1_3|3_1|3_1|3_1,1_2|2_2|3_4|3_1,30523,1_5_3,7126,1,5_1_3,5_1_3,5356,4_5_1_3,5447,5,3_1_5_4|3_1_4_5|1_3_4_5|5_1_3_4|5_3_4_1,4_1_5_4|1_4_5_5|4_4_1_5|5_4_3_4|5_3_4_1,86496,3_2_4_1_5,8485,4,2_1_4_5_3|5_4_3_1_2|4_2_5_1_3|1_4_5_2_3,2_4_4_5_2|5_3_2_1_2|1_2_5_1_4|1_4_5_2_3,48946,normal
3056,Black,,,,,,,,,,,,,,,,,,,,,,,,,
3063,White,3_2,8479,1,2_3,2_3,3082,4_3_2,5340,3,3_4_2|3_4_2|3_4_2,4_2_4|4_4_2|3_4_2,23637,3_2_1_4,7441,10,2_4_3_1|1_4_2_3|2_1_3_4|3_4_1_2|4_1_2_3|2_4_3_1|1_2_4_3|4_2_1_3|4_2_3_1|3_2_1_4,3_1_3_1|3_3_1_3|4_4_3_2|4_4_1_3|4_1_3_2|4_3_2_1|4_3_1_3|1_2_3_4|3_2_3_1|3_2_1_4,127069,2_3_5_4_1,5311,1,2_1_3_4_5,2_1_3_4_5,7184,normal
3067,Asian,4_1,5131,1,1_4,1_4,3386,3_1_4,5807,1,3_1_4,3_1_4,4405,3_1_4_5,5655,1,1_5_4_3,1_5_4_3,11217,2_5_3_4_1,6500,8,5_1_2_4_3|2_4_3_1_5|3_5_1_2_4|3_5_4_2_1|5_2_3_1_4|3_2_4_1_5|4_5_3_2_1|2_4_3_5_1,4_3_2_4_3|5_4_3_4_4|2_4_2_4_1|3_5_1_2_1|4_1_3_4_4|3_1_4_1_5|2_4_3_4_5|2_4_3_5_1,130105,normal
3073,White,5_3,3786,1,5_3,5_3,3112,5_4_3,3687,1,3_4_5,3_4_5,2160,5_4_1_3,6245,2,5_4_3_1|3_1_5_4,4_4_3_1|3_1_5_4,13412,1_2_4_5_3,7227,1,2_4_1_5_3,2_4_1_5_3,7457,normal
3075,Asian,2_4,7032,2,2_4|2_4,4_4|2_4,14564,4_2_1,4470,13,1_4_2|1_4_2|4_1_2|2_1_4|2_4_1|1_2_4|2_4_1|1_4_2|4_2_1|2_4_1|1_2_4|4_2_1|1_2_4,3_3_1|1_3_3|1_4_1|4_3_3|1_2_2|2_2_1|4_3_2|2_2_3|3_3_1|3_4_1|4_4_3|3_3_1|1_2_4,191712,1_5_2_4,21022,2,2_5_1_4|1_4_2_5,4_5_4_3|1_4_2_5,25236,2_5_4_1_3,9456,2,5_1_2_4_3|2_4_3_1_5|3_5_1_2_4|3_5_4_2_1|5_2_3_1_4|3_2_4_1_5|4_5_3_2_1|2_4_3_5_1,4_3_2_4_3|5_4_3_4_4|2_4_2_4_1|3_5_1_2_1|4_1_3_4_4|3_1_4_1_5|2_4_3_4_5|2_4_3_5_1,21167,Incomplete
3076,Asian,4_3,10111,2,3_4|4_3,3_3|4_3,16502,4_2_3,12764,1,4_2_3,4_2_3,5916,2_5_4_3,8290,1,2_3_5_4,2_3_5_4,5939,3_5_4_1_2,14894,2,3_5_1_2_4|4_2_3_1_5,3_5_1_2_3|4_2_3_1_5,24401,normal
3078,Asian,4_2,11750,3,2_4|4_2|2_4,4_4|2_4|2_4,17363,2_1_4,3989,1,1_2_4,1_2_4,2889,2_1_4_5,5828,2,5_4_2_1|1_4_5_2,2_2_2_1|1_4_5_2,15390,3_2_4_1_5,8761,7,2_1_3_4_5|2_1_3_4_5|2_4_5_1_3|3_2_5_4_1|5_4_2_1_3|5_4_2_3_1|5_3_4_2_1,2_1_5_4_5|2_1_5_4_5|2_4_5_1_4|4_4_3_4_1|3_4_2_1_3|5_4_2_1_1|5_3_4_2_1,79739,normal
3080,Asian,4_5,5868,1,4_5,4_5,1772,5_3_4,3243,4,3_4_5|3_4_5|5_4_3|3_5_4,3_4_3|5_4_3|3_4_5|3_5_4,35814,4_5_1_3,5472,5,5_1_4_3|5_4_1_3|5_3_4_1|5_3_1_4|4_1_5_3,3_3_4_5|1_4_5_3|3_5_4_1|3_5_1_4|4_1_5_3,57896,1_4_5_3_2,11231,3,3_4_1_5_2|3_2_4_1_5|1_4_3_5_2,5_4_1_3_2|5_2_4_5_3|1_4_3_5_2,37931,normal
3084,White,4_5,5797,1,4_5,4_5,2540,5_4_2,1966,9,5_2_4|2_5_4|5_2_4|4_5_2|5_4_2|2_5_4|5_2_4|5_2_4|4_2_5,5_4_4|5_2_5|2_4_2|4_2_4|2_2_5|4_2_4|4_4_4|5_4_2|4_2_5,89979,3_5_2_4,8570,1,3_5_4_2,3_5_4_2,5737,5_1_4_3_2,5269,3,2_4_5_3_1|5_2_1_3_4|4_1_5_2_3,2_5_5_3_4|5_2_4_3_4|4_1_5_2_3,42577,normal
3086,Black,2_3,8105,2,2_3|2_3,2_1|2_3,11483,2_4_3,5784,1,2_3_4,2_3_4,4612,5_4_3_2,4033,2,4_3_2_5|5_4_3_2,3_3_2_5|5_4_3_2,18578,4_5_3_1_2,7982,9,4_2_1_3_5|2_3_1_5_4|3_1_2_4_5|5_2_1_3_4|3_5_4_2_1|5_4_3_2_1|3_4_5_1_2|2_5_4_3_1|1_2_3_5_4,4_2_3_2_5|3_4_4_5_4|2_2_4_4_5|5_1_3_4_4|1_5_2_2_1|5_4_1_2_1|4_4_5_2_2|3_5_2_1_2|1_2_3_5_4,163931,normal
3087,Asian,2_1,3927,2,1_2|1_2,2_2|1_2,19098,2_3_1,5355,1,2_3_1,2_3_1,6653,4_1_2_3,4772,1,3_2_1_4,3_2_1_4,8414,5_4_3_1_2,6753,6,2_4_1_3_5|2_5_1_4_3|5_3_2_4_1|4_2_1_5_3|1_3_5_2_4|3_1_4_2_5,2_3_3_4_5|2_1_3_4_5|2_3_4_4_3|3_3_3_5_4|2_4_4_2_5|3_1_4_2_5,115613,Incomplete
3089,Black,5_4,8225,2,5_4|5_4,4_4|5_4,11975,4_5_1,8506,2,1_5_4|4_5_1,4_4_4|4_5_1,28087,4_1_5_2,13287,1,1_4_5_2,1_4_5_2,12417,1_4_2_5_3,19893,6,4_2_5_1_3|5_2_3_1_4|2_3_4_1_5|4_3_5_1_2|1_3_4_2_5|3_4_2_1_5,4_2_5_3_3|5_2_3_1_2|2_3_1_1_5|4_5_2_1_2|1_4_2_2_5|3_4_2_1_5,196598,normal
3090,White,2_4,7572,2,4_2|2_4,2_2|2_4,16005,5_4_2,7411,1,5_2_4,5_2_4,7143,5_2_1_4,9532,21,1_4_2_5|2_4_5_1|2_4_5_1|2_5_1_4|5_2_4_1|2_5_4_1|1_4_2_5|1_4_5_2|1_5_2_4|2_5_1_4|1_4_2_5|5_2_1_4|4_2_1_5|5_2_1_4|5_2_1_4|4_2_1_5|2_5_4_1|1_5_4_2|5_1_2_4|4_2_1_5|1_5_4_2,5_2_2_5|2_4_5_2|1_5_2_4|1_3_5_2|1_5_4_2|5_2_3_3|1_2_5_4|1_5_3_2|1_4_2_3|1_4_2_3|2_5_1_3|4_2_1_3|5_2_1_4|5_1_1_3|5_1_2_4|5_2_1_4|2_1_4_1|1_4_4_2|5_4_2_4|5_1_1_4|1_5_4_2,212680,4_5_1_2_3,7372,1,2_1_4_5_3,2_1_4_5_3,7739,normal
3100,Black,5_1,10312,1,5_1,5_1,4106,5_1_4,10501,1,5_4_1,5_4_1,11021,5_3_4_1,28645,11,1_3_4_5|4_5_3_1|3_5_1_4|4_1_5_3|1_5_4_3|3_5_1_4|4_5_3_1|1_5_3_4|5_4_1_3|3_1_5_4|3_4_5_1,4_3_4_5|1_5_3_1|4_5_3_1|1_5_3_3|5_5_3_4|4_5_3_3|4_5_1_1|4_5_3_4|5_3_3_3|4_3_5_4|3_4_5_1,216349,3_5_2_1_4,18672,1,3_2_4_1_5,3_2_4_1_5,14867,normal
3110,Black,3_4,16856,1,4_3,4_3,4326,3_4_1,14007,2,4_1_3|4_1_3,4_5_3|4_1_3,24026,3_4_5_1,25173,1,4_5_1_3,4_5_1_3,9242,5_2_1_4_3,32539,1,3_4_2_1_5,3_4_2_1_5,19671,normal
3114,Asian,5_2,4561,1,5_2,5_2,2983,2_5_1,5295,9,2_1_5|2_5_1|5_1_2|1_2_5|5_1_2|1_5_2|2_1_5|5_1_2|1_2_5,2_5_5|2_1_1|5_2_1|2_2_5|5_2_1|1_2_2|2_5_5|2_2_2|1_2_5,69194,3_2_1_5,4911,4,1_5_3_2|3_1_2_5|3_1_5_2|3_2_1_5,2_2_3_2|3_5_2_5|3_2_5_1|3_2_1_5,33552,2_5_4_3_1,5967,2,3_1_5_2_4|1_4_3_5_2,3_2_5_2_4|1_4_3_5_2,14291,normal
3116,Black,4_1,9441,2,1_4|4_1,4_4|4_1,14764,3_1_4,9030,3,4_1_3|3_4_1|4_1_3,4_1_4|3_1_1|4_1_3,37228,5_4_1_3,10716,21,1_5_4_3|3_5_1_4|3_4_5_1|1_3_4_5|5_4_3_1|4_1_5_3|4_1_3_5|1_4_5_3|1_5_3_4|3_5_1_4|1_3_4_5|1_4_5_3|3_5_4_1|3_5_1_4|3_1_4_5|5_1_4_3|4_3_1_5|1_3_4_5|4_1_3_5|1_4_3_5|4_1_3_5,4_5_4_3|5_1_3_5|5_4_1_4|3_5_3_5|1_1_1_1|5_4_1_3|3_3_5_5|3_1_3_5|1_3_5_1|5_1_3_4|4_1_4_5|4_4_1_2|3_5_1_3|5_5_4_5|5_5_4_5|5_3_4_5|5_5_4_5|4_5_1_5|4_3_5_5|4_4_5_5|4_1_3_5,434914,4_3_1_5_2,26080,5,5_1_3_4_2|3_1_5_2_4|4_2_3_5_1|1_3_5_2_4|3_1_2_4_5,1_5_3_4_2|3_1_3_1_4|4_2_3_1_1|1_5_3_1_4|3_1_2_4_5,136061,normal
3120,White,4_3,4834,1,4_3,4_3,3729,3_5_4,10586,2,5_4_3|5_4_3,5_3_3|5_4_3,12016,3_4_5_2,9353,3,5_4_2_3|4_3_5_2|5_3_2_4,5_4_3_3|5_3_5_2|5_3_2_4,22359,4_5_3_2_1,9060,2,5_1_3_2_4|1_2_4_3_5,5_1_2_2_4|1_2_4_3_5,16612,normal
3123,Asian,5_2,9131,1,5_2,5_2,2990,5_2_1,2537,1,5_1_2,5_1_2,5915,4_5_2_1,4878,18,4_5_1_2|4_5_1_2|5_2_4_1|2_5_1_4|1_4_5_2|4_1_2_5|2_5_4_1|5_4_2_1|5_2_1_4|1_5_4_2|4_2_1_5|1_2_4_5|4_1_5_2|2_5_1_4|4_2_5_1|1_5_2_4|4_2_5_1|2_5_4_1,4_2_2_5|4_5_1_4|2_1_1_4|5_2_2_4|2_5_5_2|1_2_4_5|1_5_4_1|5_2_2_1|5_4_4_4|2_5_4_2|2_5_5_5|4_2_4_5|2_4_5_2|1_5_4_2|1_2_5_2|1_5_4_2|2_2_5_1|2_5_4_1,273804,2_4_1_3_5,11327,1,3_2_4_1_5,3_2_4_1_5,10316,normal
3125,Black,2_1,11673,1,2_1,2_1,5243,1_5_2,7418,1,1_5_2,1_5_2,6226,1_2_3_5,7319,7,5_1_2_3|2_3_1_5|2_1_3_5|5_1_3_2|1_5_2_3|5_1_3_2|3_1_2_5,5_1_2_4|1_5_2_5|1_1_5_5|3_1_3_2|1_3_5_5|3_1_2_2|3_1_2_5,157730,5_2_4_1_3,13951,4,2_1_3_5_4|3_4_2_1_5|3_1_2_4_5|1_4_3_2_5|4_1_2_3_5|1_2_4_3_5|5_4_3_1_2|4_1_5_2_3|1_5_2_4_3|3_1_5_4_2|3_2_1_5_4|3_5_4_1_2|1_3_5_4_2|1_3_4_2_5|1_4_5_3_2|1_4_3_5_2,3_3_2_5_4|2_2_2_1_3|3_4_4_5_5|3_4_3_2_5|3_3_3_3_5|3_3_3_4_5|5_2_2_2_2|1_1_2_2_3|1_5_4_4_3|3_4_5_4_2|3_1_1_5_4|3_5_4_2_2|2_2_5_4_2|3_3_2_2_5|1_3_5_3_2|1_4_3_5_2,107193,Incomplete
3128,White,5_1,10524,1,5_1,5_1,3489,1_5_2,4820,4,2_5_1|1_5_2|5_1_2|1_5_2,2_1_1|2_2_2|1_2_1|1_5_2,50176,1_3_2_5,7108,10,3_1_5_2|1_3_2_5|5_3_1_2|3_5_2_1|2_3_5_1|1_5_3_2|3_5_1_2|2_5_1_3|5_2_3_1|5_3_2_1,1_2_5_3|2_1_1_5|1_3_5_5|5_2_3_1|3_3_5_2|1_2_3_5|2_5_2_3|2_5_3_3|5_3_3_1|5_3_2_1,173405,1_3_4_2_5,10565,7,1_5_2_3_4|3_4_1_2_5|1_5_3_4_2|3_1_5_2_4|1_4_5_2_3|5_4_2_1_3|1_2_5_4_3,3_5_3_3_4|3_4_2_1_5|3_5_2_4_2|3_2_4_3_4|3_4_5_3_3|5_4_3_3_3|1_2_5_4_3,89532,normal
3130,Black,5_4,4638,1,4_5,4_5,3838,4_5_3,4243,1,4_5_3,4_5_3,3960,5_2_3_4,4996,13,3_4_5_2|3_2_5_4|2_4_3_5|5_4_3_2|4_5_2_3|2_3_4_5|3_4_5_2|4_3_2_5|3_2_5_4|4_5_2_3|4_2_3_5|4_5_3_2|2_4_3_5,3_5_5_2|5_4_5_3|4_5_2_3|5_3_5_5|5_5_2_4|5_5_5_5|5_5_5_3|5_5_4_3|4_4_5_4|5_3_3_2|4_5_4_3|4_5_2_4|2_4_3_5,114301,2_1_4_3_5,6262,7,1_3_5_2_4|2_4_1_5_3|4_5_1_3_2|5_1_3_2_4|1_5_4_2_3|4_5_1_3_2|2_3_4_5_1,2_3_5_4_2|3_4_1_2_3|4_3_1_4_2|4_2_2_3_5|1_3_2_3_5|2_3_1_4_3|2_3_4_5_1,74383,normal
3131,Black,1_2,7484,1,2_1,2_1,3271,3_2_1,6487,1,2_3_1,2_3_1,3853,1_4_2_3,9668,10,3_2_4_1|4_1_3_2|2_3_4_1|4_2_3_1|2_3_1_4|3_2_4_1|3_1_4_2|4_1_3_2|4_2_1_3|3_1_2_4,2_2_1_1|3_1_3_2|4_1_4_2|2_1_3_4|2_4_1_4|2_2_1_1|3_2_4_2|3_2_3_2|1_2_4_4|3_1_2_4,131470,1_2_4_5_3,20412,3,4_5_2_3_1|3_1_4_2_5|1_3_2_5_4,1_5_2_3_4|4_4_3_5_5|1_3_2_5_4,38845,normal
3132,Black,,,,,,,,,,,,,,,,,,,,,,,,,
3133,Asian,2_5,11739,1,2_5,2_5,5648,2_3_5,9035,4,2_5_3|5_2_3|2_3_5|2_3_5,2_5_2|2_2_5|2_5_2|2_3_5,51646,1_3_2_5,11249,3,3_2_1_5|2_5_3_1|1_2_5_3,2_2_3_2|5_5_1_2|1_2_5_3,29063,1_3_4_5_2,9951,22,2_1_3_4_5|2_4_3_1_5|1_5_2_3_4|2_5_1_3_4|3_4_5_2_1|3_2_5_1_4|4_2_1_3_5|2_4_3_1_5|5_3_1_4_2|2_4_1_3_5|4_3_1_5_2|4_2_1_5_3|4_1_2_5_3|5_1_3_4_2|5_1_4_3_2|2_4_5_3_1|1_5_3_2_4|5_4_3_1_2|4_3_5_2_1|3_4_2_1_5|2_5_1_4_3|3_1_5_2_4,2_4_5_1_4|2_1_5_4_2|4_2_4_3_4|2_4_3_5_3|5_5_1_2_5|3_5_2_3_4|3_3_1_5_2|4_5_3_1_5|5_3_2_4_2|1_5_3_4_3|1_2_4_5_2|3_3_5_5_2|4_1_2_3_2|1_4_2_3_3|1_1_2_3_2|2_3_5_1_2|1_5_2_2_4|5_3_2_1_4|4_2_5_3_1|2_3_3_1_5|2_5_4_4_3|3_1_5_2_4,415295,normal
